Year,Series,Unit,Value
2017,Countries with procedures in law or policy for participation by service users/communities in planinng program: rural drinking-water supply,10 = Clearly defined; 5 = Not clearly defined; 0 = N/A,5
2019,Countries with procedures in law or policy for participation by service users/communities in planinng program: rural drinking-water supply,10 = Clearly defined; 5 = Not clearly defined; 0 = N/A,5
2022,Countries with procedures in law or policy for participation by service users/communities in planinng program: rural drinking-water supply,10 = Clearly defined; 5 = Not clearly defined; 0 = N/A,10
2017,Countries with procedures in law or policy for participation by service users/communities in planning program: water resources planning and management,10 = Clearly defined; 5 = Not clearly defined; 0 = N/A,5
2019,Countries with procedures in law or policy for participation by service users/communities in planning program: water resources planning and management,10 = Clearly defined; 5 = Not clearly defined; 0 = N/A,5
2022,Countries with procedures in law or policy for participation by service users/communities in planning program: water resources planning and management,10 = Clearly defined; 5 = Not clearly defined; 0 = N/A,10
2017,Countries with users/communities participating in planning programs in rural drinking-water supply,3 = High; 2 = Moderate; 1 = Low; 0 = N/A,0
2019,Countries with users/communities participating in planning programs in rural drinking-water supply,3 = High; 2 = Moderate; 1 = Low; 0 = N/A,2
2022,Countries with users/communities participating in planning programs in rural drinking-water supply,3 = High; 2 = Moderate; 1 = Low; 0 = N/A,2
2017,Countries with users/communities participating in planning programs in water resources planning and management,3 = High; 2 = Moderate; 1 = Low; 0 = N/A,0
2019,Countries with users/communities participating in planning programs in water resources planning and management,3 = High; 2 = Moderate; 1 = Low; 0 = N/A,0
2022,Countries with users/communities participating in planning programs in water resources planning and management,3 = High; 2 = Moderate; 1 = Low; 0 = N/A,2
